TIPO_INSTITUCION	INSTITUCION	SEDE	REGION	CARRERA	HORARIO	ACREDITACION_CARRERA	TOTAL_MATRICULADOS	TOTAL_MATRICULADOS_PRIMER_AÑO
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE TALCA	VII REGIÓN	TECNICO EN EDUCACION PARVULARIA	Diurno	No Acreditada	35	35
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE CONCEPCION	VIII REGIÓN	TECNICO EN ENFERMERIA	Vespertino	No Acreditada	51	51
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE CONCEPCION	VIII REGIÓN	TECNICO EN EDUCACION PARVULARIA	Vespertino	No Acreditada	16	16
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE LOS ANGELES	VIII REGIÓN	TECNICO EN ENFERMERIA	Diurno	No Acreditada	28	28
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE LOS ANGELES	VIII REGIÓN	TECNICO EN ENFERMERIA	Vespertino	No Acreditada	15	15
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE LOS ANGELES	VIII REGIÓN	TECNICO EN EDUCACION PARVULARIA	Diurno	No Acreditada	19	19
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE LOS ANGELES	VIII REGIÓN	TECNICO EN EDUCACION PARVULARIA	Otro	No Acreditada	37	37
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE TEMUCO	IX REGIÓN	TECNICO EN ENFERMERIA	Vespertino	No Acreditada	20	20
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE TEMUCO	IX REGIÓN	TECNICO EN EDUCACION PARVULARIA	Otro	No Acreditada	44	44
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE VALDIVIA	XIV REGIÓN	TECNICO EN EDUCACION PARVULARIA	Otro	No Acreditada	22	22
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE COYHAIQUE	XI REGIÓN	TECNICO EN EDUCACION PARVULARIA	Vespertino	No Acreditada	42	42
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	CASA CENTRAL	V REGIÓN	ADMINISTRACION DE EMPRESAS	Vespertino	No Acreditada	2	
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	CASA CENTRAL	V REGIÓN	TECNICO DE NIVEL SUPERIOR PREPARADOR FISICO Y ENTRENADOR	Vespertino	No Acreditada	8	
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	CASA CENTRAL	V REGIÓN	EDUCADOR SOCIAL	Vespertino	No Acreditada	19	
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	CASA CENTRAL	V REGIÓN	TRADUCTOR E INTERPRETE INGLES-ESPAÑOL	Vespertino	No Acreditada	18	
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	CASA CENTRAL	V REGIÓN	TECNICO EN ENFERMERIA	Diurno	No Acreditada	44	44
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	CASA CENTRAL	V REGIÓN	TECNICO EN ENFERMERIA	Vespertino	No Acreditada	59	17
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	CASA CENTRAL	V REGIÓN	CONTABILIDAD	Vespertino	No Acreditada	4	
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	CASA CENTRAL	V REGIÓN	COMERCIO EXTERIOR	Vespertino	No Acreditada	9	
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE CALAMA	II REGIÓN	TECNICO EN PREVENCION DE RIESGOS	Vespertino	No Acreditada	73	73
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE CALAMA	II REGIÓN	TECNICO EN GESTION DEPORTIVA	Vespertino	No Acreditada	11	11
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE ANTOFAGASTA	II REGIÓN	TECNICO EN PREVENCION DE RIESGOS	Diurno	No Acreditada	26	26
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE ANTOFAGASTA	II REGIÓN	TECNICO EN PREVENCION DE RIESGOS	Vespertino	No Acreditada	57	57
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE ANTOFAGASTA	II REGIÓN	TECNICO EN ADMINISTRACION DE EMPRESAS	Vespertino	No Acreditada	24	24
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE QUILLOTA	V REGIÓN	TECNICO EN ENFERMERIA	Diurno	No Acreditada	53	53
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE QUILLOTA	V REGIÓN	TECNICO EN ENFERMERIA	Vespertino	No Acreditada	41	41
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE RANCAGUA	VI REGIÓN	TECNICO EN ENFERMERIA	Diurno	No Acreditada	27	27
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE RANCAGUA	VI REGIÓN	TECNICO EN EDUCACION PARVULARIA	Diurno	No Acreditada	11	11
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE RANCAGUA	VI REGIÓN	TECNICO EN EDUCACION PARVULARIA	Otro	No Acreditada	26	26
CENTRO DE FORMACIÓN TÉCNICA	CFT ALEXANDER VON HUMBOLDT	SEDE SAN FERNANDO	VI REGIÓN	TECNICO EN EDUCACION PARVULARIA	Diurno	No Acreditada	25	25
CENTRO DE FORMACIÓN TÉCNICA	CFT ALPES	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	FOTOGRAFIA ESPECIALIDADES FOTOGRAFIA PUBLICITARIA Y FOTOGRAFIA PERIODISTICA	Diurno	No Acreditada	90	29
CENTRO DE FORMACIÓN TÉCNICA	CFT ALPES	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	COMUNICACION SOCIAL MENCION PRODUCCION DE EVENTOS	Diurno	No Acreditada	1	
CENTRO DE FORMACIÓN TÉCNICA	CFT ALPES	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	GESTION Y PRODUCCION DE EVENTOS	Diurno	No Acreditada	17	7
CENTRO DE FORMACIÓN TÉCNICA	CFT ALPES	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	DISEÑO GRAFICO	Diurno	No Acreditada	12	1
CENTRO DE FORMACIÓN TÉCNICA	CFT ALPES	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	FOTOGRAFIA	Diurno	No Acreditada	37	22
CENTRO DE FORMACIÓN TÉCNICA	CFT ALPES	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	FOTOGRAFIA	Vespertino	No Acreditada	39	22
CENTRO DE FORMACIÓN TÉCNICA	CFT ALPES	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	DISEÑO Y PRODUCCION GRAFICA DIGITAL	Vespertino	No Acreditada	8	5
CENTRO DE FORMACIÓN TÉCNICA	CFT ALPES	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	ILUSTRACION ARTISTICA	Diurno	No Acreditada	63	29
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	ADMINISTRACION DE EMPRESAS	Diurno	No Acreditada	28	
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	ADMINISTRACION DE EMPRESAS	Vespertino	No Acreditada	67	33
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	SECRETARIADO GERENCIAL	Diurno	No Acreditada	12	
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	SECRETARIADO GERENCIAL	Vespertino	No Acreditada	9	
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	ELECTRONICA INDUSTRIAL	Diurno	No Acreditada	23	9
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	ELECTRONICA INDUSTRIAL	Vespertino	No Acreditada	34	13
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	CONTABILIDAD GENERAL	Diurno	No Acreditada	7	
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	CONTABILIDAD GENERAL	Vespertino	No Acreditada	19	12
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	TECNICO EN ARQUITECTURA	Diurno	No Acreditada	6	
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	TECNICO EN ARQUITECTURA	Vespertino	No Acreditada	27	12
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	TECNICO EN CONSTRUCCION CIVIL	Diurno	No Acreditada	43	11
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	TECNICO EN CONSTRUCCION CIVIL	Vespertino	No Acreditada	95	42
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	PREVENCION DE RIESGOS	Diurno	No Acreditada	83	35
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	PREVENCION DE RIESGOS	Vespertino	No Acreditada	82	43
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	COMPUTACION E INFORMATICA	Diurno	No Acreditada	42	19
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	COMPUTACION E INFORMATICA	Vespertino	No Acreditada	45	12
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	ASISTENTE JURIDICO	Diurno	No Acreditada	10	
